0,1,2,3,4,5,6,7
5,by ****9,Under Armour,1103570174_SGAMZ-4261240189,Polyester,T-Shirts,Anti-Odour,Training
5,by Lee T.,Under Armour,1103570174_SGAMZ-4261240189,Polyester,T-Shirts,Anti-Odour,Training
5,by D***s,Under Armour,1103570174_SGAMZ-4261240189,Polyester,T-Shirts,Anti-Odour,Training
5,by K***.,Under Armour,1608188838_SGAMZ-8076923723,Polyester,T-Shirts,Anti-Odour,Training
5,by Desmond N.,Under Armour,1608188838_SGAMZ-8076923723,Polyester,T-Shirts,Anti-Odour,Training
5,by 8***9,Under Armour,1608188838_SGAMZ-8076923723,Polyester,T-Shirts,Anti-Odour,Training
5,by Alan L.,Under Armour,1608188838_SGAMZ-8076923723,Polyester,T-Shirts,Anti-Odour,Training
5,by J***y,Under Armour,1608188838_SGAMZ-8076923723,Polyester,T-Shirts,Anti-Odour,Training
5,by Zhihong X.,Under Armour,2268282878_SGAMZ-13081026503,Polyester,T-Shirts,Breathable,Training
5,by Kevin T.,Under Armour,2268282878_SGAMZ-13081026503,Polyester,T-Shirts,Breathable,Training
5,by Chua C.,Under Armour,2268282878_SGAMZ-13081026503,Polyester,T-Shirts,Breathable,Training
5,by B***i,Under Armour,1976496686_SGAMZ-10964753214,Cotton,T-Shirts,Anti-Odour,"Cycling,Training,Camping & Hiking,Extreme Sports,Yoga & Stretch"
5,by Tan Q.,Under Armour,1976496686_SGAMZ-10964753214,Cotton,T-Shirts,Anti-Odour,"Cycling,Training,Camping & Hiking,Extreme Sports,Yoga & Stretch"
5,by Eugene T.,Under Armour,1976496686_SGAMZ-10964753214,Cotton,T-Shirts,Anti-Odour,"Cycling,Training,Camping & Hiking,Extreme Sports,Yoga & Stretch"
3,1,,123,Nylon,T-Shirts,,
4,2,,123,Nylon,T-Shirts,,
5,3,,123,Nylon,T-Shirts,,
3,4,,123,Nylon,T-Shirts,,
4,5,,124,Nylon,T-Shirts,,
5,6,,124,Nylon,T-Shirts,,
3,7,,124,Nylon,T-Shirts,,
4,8,,124,Nylon,T-Shirts,,
3,9,,124.3571429,Nylon,T-Shirts,,
4,10,,124.547619,Nylon,T-Shirts,,
5,11,,124.7380952,Nylon,T-Shirts,,
3,12,,124.9285714,Nylon,T-Shirts,,
4,13,,125.1190476,Nylon,T-Shirts,,
5,14,,125.3095238,Nylon,T-Shirts,,
3,15,,125.5,Nylon,T-Shirts,,
4,16,,125.6904762,Nylon,T-Shirts,,
5,17,,125.8809524,Nylon,T-Shirts,,
3,18,,126.0714286,Nylon,T-Shirts,,
4,19,,126.2619048,Nylon,T-Shirts,,
5,20,,126.452381,Nylon,T-Shirts,,
3,21,,126.6428571,Nylon,T-Shirts,,
4,22,,126.8333333,Nylon,T-Shirts,,
5,23,,127.0238095,Nylon,T-Shirts,,
3,24,,127.2142857,Nylon,T-Shirts,,
4,25,,127.4047619,Nylon,T-Shirts,,
5,26,,127.5952381,Nylon,T-Shirts,,
3,27,,127.7857143,Nylon,T-Shirts,,
4,28,,127.9761905,Nylon,T-Shirts,,
5,29,,128.1666667,Nylon,T-Shirts,,
3,30,,128.3571429,Mesh,T-Shirts,,
4,31,,128.547619,Mesh,T-Shirts,,
5,32,,128.7380952,Mesh,T-Shirts,,
3,33,,128.9285714,Mesh,T-Shirts,,
4,34,,129.1190476,Mesh,T-Shirts,,
5,35,,129.3095238,Mesh,T-Shirts,,
3,36,,129.5,Mesh,T-Shirts,,
4,37,,129.6904762,Mesh,T-Shirts,,
5,38,,129.8809524,Mesh,T-Shirts,,
5,39,,130.0714286,Mesh,T-Shirts,,
3,40,,130.2619048,Mesh,T-Shirts,,
4,41,,130.452381,Mesh,T-Shirts,,
5,42,,130.6428571,Mesh,T-Shirts,,
3,43,,130.8333333,Mesh,T-Shirts,,
4,44,,131.0238095,Mesh,T-Shirts,,
5,45,,131.2142857,Mesh,T-Shirts,,
3,46,,131.4047619,Mesh,T-Shirts,,
4,47,,131.5952381,Mesh,T-Shirts,,
5,48,,131.7857143,Mesh,T-Shirts,,
3,49,,131.9761905,Mesh,T-Shirts,,
4,50,,132.1666667,Mesh,T-Shirts,,
5,51,,132.3571429,Mesh,T-Shirts,,
3,52,,132.547619,Mesh,T-Shirts,,
4,53,,132.7380952,Mesh,T-Shirts,,
5,54,,132.9285714,Mesh,T-Shirts,,
3,55,,133.1190476,Mesh,T-Shirts,,
4,56,,133.3095238,Mesh,T-Shirts,,
5,57,,133.5,Mesh,T-Shirts,,
3,58,,133.6904762,Mesh,T-Shirts,,
4,59,,133.8809524,Mesh,T-Shirts,,
5,60,,134.0714286,Mesh,T-Shirts,,
3,61,,134.2619048,Mesh,T-Shirts,,
4,62,,134.452381,Mesh,T-Shirts,,
5,63,,134.6428571,Mesh,T-Shirts,,
3,64,,134.8333333,Mesh,T-Shirts,,
